"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 19, 2019","110,000.0","109,800.0","110,800.0","108,500.0","379.31K","0.00%"
"Dec 18, 2019","110,000.0","113,100.0","113,600.0","109,700.0","1.15M","-2.91%"
"Dec 17, 2019","113,300.0","113,800.0","114,500.0","113,100.0","448.23K","0.09%"
"Dec 16, 2019","113,200.0","112,000.0","113,200.0","111,500.0","444.41K","0.18%"
"Dec 13, 2019","113,000.0","113,500.0","114,700.0","112,300.0","467.61K","-0.35%"
"Dec 12, 2019","113,400.0","113,000.0","113,500.0","112,700.0","366.19K","0.35%"
"Dec 11, 2019","113,000.0","110,500.0","113,000.0","110,300.0","314.71K","1.80%"
"Dec 10, 2019","111,000.0","110,900.0","111,400.0","110,000.0","412.00K","0.09%"
"Dec 09, 2019","110,900.0","110,800.0","111,600.0","110,000.0","526.01K","0.09%"
"Dec 06, 2019","110,800.0","110,600.0","111,000.0","110,000.0","468.98K","0.18%"
"Dec 05, 2019","110,600.0","113,200.0","113,500.0","110,600.0","544.70K","-2.12%"
"Dec 04, 2019","113,000.0","109,000.0","113,000.0","108,600.0","574.63K","3.48%"
"Dec 03, 2019","109,200.0","108,000.0","109,400.0","106,800.0","593.72K","0.74%"
"Dec 02, 2019","108,400.0","109,400.0","109,800.0","108,400.0","642.17K","-0.55%"
"Nov 29, 2019","109,000.0","109,000.0","109,000.0","106,600.0","913.42K","0.00%"
"Nov 28, 2019","109,000.0","111,200.0","112,200.0","108,900.0","1.28M","-3.71%"
"Nov 27, 2019","113,200.0","113,700.0","114,200.0","112,900.0","255.15K","-0.26%"
"Nov 26, 2019","113,500.0","113,400.0","114,000.0","112,700.0","587.67K","1.34%"
"Nov 25, 2019","112,000.0","112,700.0","112,800.0","108,100.0","619.11K","0.00%"
"Nov 22, 2019","112,000.0","115,000.0","115,000.0","110,800.0","871.80K","-1.32%"
"Nov 21, 2019","113,500.0","117,000.0","117,000.0","113,500.0","1.21M","-3.07%"
"Nov 20, 2019","117,100.0","119,000.0","119,000.0","116,700.0","352.35K","-1.60%"
"Nov 19, 2019","119,000.0","118,000.0","119,000.0","117,700.0","297.21K","1.02%"
"Nov 18, 2019","117,800.0","118,600.0","119,500.0","117,500.0","342.43K","-0.59%"
"Nov 15, 2019","118,500.0","117,000.0","118,500.0","116,800.0","477.38K","1.46%"
"Nov 14, 2019","116,800.0","119,900.0","120,700.0","116,000.0","1.56M","-2.59%"
"Nov 13, 2019","119,900.0","122,300.0","122,700.0","119,000.0","1.49M","-1.96%"
"Nov 12, 2019","122,300.0","121,900.0","122,800.0","121,400.0","535.49K","0.33%"
"Nov 11, 2019","121,900.0","124,800.0","124,800.0","121,900.0","1.07M","-2.17%"
"Nov 08, 2019","124,600.0","125,400.0","125,400.0","123,400.0","791.81K","-0.56%"
"Nov 07, 2019","125,300.0","125,300.0","125,900.0","124,700.0","454.07K","0.56%"
"Nov 06, 2019","124,600.0","125,600.0","125,700.0","124,200.0","675.51K","-0.80%"
"Nov 05, 2019","125,600.0","126,600.0","126,800.0","125,500.0","694.31K","-0.40%"
"Nov 04, 2019","126,100.0","125,400.0","126,600.0","123,600.0","1.42M","0.72%"
"Nov 01, 2019","125,200.0","124,600.0","125,800.0","122,800.0","804.11K","0.48%"
"Oct 31, 2019","124,600.0","124,900.0","126,000.0","124,600.0","547.28K","-0.24%"
"Oct 30, 2019","124,900.0","126,300.0","126,700.0","124,600.0","1.27M","-1.65%"
"Oct 29, 2019","127,000.0","127,600.0","128,400.0","127,000.0","451.93K","-0.47%"
"Oct 28, 2019","127,600.0","128,000.0","129,100.0","127,400.0","791.43K","-0.23%"
"Oct 25, 2019","127,900.0","127,800.0","128,000.0","126,800.0","619.56K","0.31%"
"Oct 24, 2019","127,500.0","123,200.0","127,500.0","123,200.0","1.55M","3.49%"
"Oct 23, 2019","123,200.0","122,500.0","124,400.0","122,100.0","267.91K","0.08%"
"Oct 22, 2019","123,100.0","123,000.0","123,100.0","121,800.0","283.11K","0.16%"
"Oct 21, 2019","122,900.0","123,500.0","123,900.0","122,000.0","420.54K","0.00%"
"Oct 18, 2019","122,900.0","123,300.0","123,600.0","122,300.0","340.93K","0.00%"
"Oct 17, 2019","122,900.0","125,000.0","125,000.0","122,700.0","752.15K","-1.76%"
"Oct 16, 2019","125,100.0","126,000.0","126,500.0","125,000.0","332.15K","-0.32%"
"Oct 15, 2019","125,500.0","124,700.0","125,900.0","124,500.0","330.13K","0.64%"
"Oct 14, 2019","124,700.0","123,500.0","125,500.0","123,000.0","557.79K","1.05%"
"Oct 11, 2019","123,400.0","123,700.0","123,800.0","122,700.0","226.39K","-0.16%"
"Oct 10, 2019","123,600.0","123,600.0","124,300.0","122,700.0","309.09K","0.00%"
"Oct 09, 2019","123,600.0","123,400.0","123,900.0","122,600.0","258.38K","0.49%"
"Oct 08, 2019","123,000.0","121,000.0","123,000.0","120,600.0","617.49K","1.65%"
"Oct 07, 2019","121,000.0","123,000.0","123,700.0","121,000.0","868.85K","-1.63%"
"Oct 04, 2019","123,000.0","125,800.0","125,800.0","123,000.0","612.11K","-1.68%"
"Oct 03, 2019","125,100.0","124,100.0","125,200.0","124,000.0","905.19K","-0.08%"
"Oct 02, 2019","125,200.0","127,500.0","127,700.0","125,200.0","697.64K","-1.80%"
"Oct 01, 2019","127,500.0","126,100.0","127,800.0","126,100.0","581.24K","1.11%"
"Sep 30, 2019","126,100.0","129,000.0","129,500.0","126,000.0","678.78K","-1.48%"
"Sep 27, 2019","128,000.0","126,500.0","128,800.0","126,000.0","1.28M","1.59%"
"Sep 26, 2019","126,000.0","125,900.0","126,500.0","124,500.0","454.27K","0.40%"
"Sep 25, 2019","125,500.0","122,100.0","125,500.0","121,500.0","640.20K","2.87%"
"Sep 24, 2019","122,000.0","122,700.0","124,600.0","122,000.0","796.02K","-1.61%"
"Sep 23, 2019","124,000.0","126,000.0","127,000.0","123,500.0","706.56K","-1.98%"
"Sep 20, 2019","126,500.0","125,900.0","127,800.0","124,000.0","626.23K","1.04%"
"Sep 19, 2019","125,200.0","122,500.0","125,200.0","121,700.0","535.58K","2.62%"
"Sep 18, 2019","122,000.0","123,100.0","124,500.0","121,600.0","837.38K","-1.13%"
"Sep 17, 2019","123,400.0","123,400.0","123,500.0","122,000.0","433.58K","-0.08%"
"Sep 16, 2019","123,500.0","122,700.0","124,800.0","122,600.0","1.11M","0.90%"
"Sep 13, 2019","122,400.0","117,500.0","122,400.0","117,500.0","2.60M","4.79%"
"Sep 12, 2019","116,800.0","115,900.0","117,200.0","114,800.0","849.03K","1.48%"
"Sep 11, 2019","115,100.0","114,800.0","115,100.0","112,700.0","699.47K","0.17%"
"Sep 10, 2019","114,900.0","117,000.0","117,000.0","114,500.0","526.62K","-1.03%"
"Sep 09, 2019","116,100.0","116,500.0","117,500.0","116,100.0","268.27K","-0.77%"
"Sep 06, 2019","117,000.0","116,200.0","117,400.0","115,200.0","446.19K","0.69%"
"Sep 05, 2019","116,200.0","118,000.0","118,000.0","115,000.0","873.42K","-1.44%"
"Sep 04, 2019","117,900.0","117,600.0","118,400.0","117,200.0","478.35K","0.26%"
"Sep 03, 2019","117,600.0","117,300.0","118,300.0","117,000.0","672.22K","0.60%"
