"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 08, 2020","20,650.0","20,500.0","20,700.0","20,050.0","1.08M","-0.48%"
"Apr 07, 2020","20,750.0","20,500.0","20,900.0","20,100.0","1.13M","1.22%"
"Apr 06, 2020","20,500.0","19,600.0","20,500.0","19,600.0","2.02M","4.86%"
"Apr 03, 2020","19,550.0","19,100.0","19,550.0","19,000.0","1.13M","3.17%"
"Apr 01, 2020","18,950.0","17,900.0","18,950.0","17,850.0","752.19K","6.46%"
"Mar 31, 2020","17,800.0","17,950.0","18,300.0","16,100.0","1.50M","3.19%"
"Mar 30, 2020","17,250.0","17,500.0","17,500.0","17,000.0","1.80M","-5.48%"
"Mar 27, 2020","18,250.0","19,500.0","19,500.0","18,250.0","1.97M","-6.89%"
"Mar 26, 2020","19,600.0","19,800.0","19,900.0","18,900.0","3.42M","-1.51%"
"Mar 25, 2020","19,900.0","19,900.0","19,900.0","19,150.0","2.07M","4.74%"
"Mar 24, 2020","19,000.0","19,450.0","19,700.0","18,700.0","1.65M","-2.31%"
"Mar 23, 2020","19,450.0","19,600.0","19,600.0","19,450.0","695.88K","-6.94%"
"Mar 20, 2020","20,900.0","20,700.0","20,900.0","19,750.0","1.54M","0.00%"
"Mar 19, 2020","20,900.0","21,000.0","21,000.0","19,850.0","2.29M","-1.88%"
"Mar 18, 2020","21,300.0","21,950.0","21,950.0","21,050.0","1.71M","0.47%"
"Mar 17, 2020","21,200.0","20,600.0","22,550.0","20,300.0","3.08M","-2.30%"
"Mar 16, 2020","21,700.0","22,350.0","23,000.0","21,400.0","2.50M","-5.65%"
"Mar 13, 2020","23,000.0","21,250.0","23,450.0","21,250.0","3.27M","0.88%"
"Mar 12, 2020","22,800.0","24,150.0","24,150.0","22,800.0","2.18M","-6.94%"
"Mar 11, 2020","24,500.0","26,000.0","26,000.0","24,000.0","1.36M","-5.04%"
"Mar 10, 2020","25,800.0","25,050.0","26,650.0","25,000.0","2.50M","-0.96%"
"Mar 09, 2020","26,050.0","26,800.0","26,850.0","26,050.0","1.61M","-6.96%"
"Mar 06, 2020","28,000.0","27,900.0","28,000.0","27,500.0","720.18K","0.00%"
"Mar 05, 2020","28,000.0","28,250.0","28,650.0","27,750.0","1.18M","-0.53%"
"Mar 04, 2020","28,150.0","27,700.0","28,250.0","27,700.0","1.57M","1.62%"
"Mar 03, 2020","27,700.0","28,000.0","28,300.0","27,600.0","2.54M","0.00%"
"Mar 02, 2020","27,700.0","27,700.0","28,000.0","27,400.0","1.32M","-0.36%"
"Feb 28, 2020","27,800.0","27,550.0","27,800.0","27,200.0","1.03M","-0.71%"
"Feb 27, 2020","28,000.0","27,750.0","28,100.0","27,650.0","1.24M","1.08%"
"Feb 26, 2020","27,700.0","27,700.0","28,250.0","27,350.0","1.20M","-1.07%"
"Feb 25, 2020","28,000.0","27,000.0","28,050.0","26,950.0","1.83M","2.75%"
"Feb 24, 2020","27,250.0","28,000.0","28,050.0","27,250.0","1.37M","-4.05%"
"Feb 21, 2020","28,400.0","28,350.0","28,700.0","28,200.0","1.19M","0.00%"
"Feb 20, 2020","28,400.0","28,550.0","28,650.0","28,300.0","1.14M","-0.35%"
"Feb 19, 2020","28,500.0","28,650.0","28,650.0","28,100.0","1.70M","-0.52%"
"Feb 18, 2020","28,650.0","28,700.0","29,000.0","28,650.0","1.08M","-0.35%"
"Feb 17, 2020","28,750.0","28,600.0","28,750.0","28,550.0","2.07M","0.52%"
"Feb 14, 2020","28,600.0","29,250.0","29,550.0","28,600.0","2.11M","-2.05%"
"Feb 13, 2020","29,200.0","29,250.0","29,500.0","29,100.0","1.24M","0.00%"
"Feb 12, 2020","29,200.0","29,050.0","29,900.0","29,050.0","1.79M","0.69%"
"Feb 11, 2020","29,000.0","29,400.0","29,600.0","28,850.0","2.63M","-1.69%"
"Feb 10, 2020","29,500.0","29,850.0","29,900.0","29,150.0","1.23M","-1.50%"
"Feb 07, 2020","29,950.0","29,900.0","30,100.0","29,600.0","1.76M","0.17%"
"Feb 06, 2020","29,900.0","28,450.0","30,000.0","28,350.0","3.30M","5.28%"
"Feb 05, 2020","28,400.0","27,550.0","28,500.0","27,250.0","1.33M","3.09%"
"Feb 04, 2020","27,550.0","27,050.0","27,700.0","26,850.0","1.62M","2.04%"
"Feb 03, 2020","27,000.0","26,650.0","27,450.0","25,550.0","1.83M","0.00%"
"Jan 31, 2020","27,000.0","27,850.0","27,900.0","26,000.0","1.89M","-3.40%"
"Jan 30, 2020","27,950.0","28,700.0","28,700.0","27,950.0","1.70M","-3.62%"
"Jan 22, 2020","29,000.0","28,950.0","29,050.0","28,500.0","2.24M","0.17%"
"Jan 21, 2020","28,950.0","28,250.0","29,100.0","28,200.0","1.66M","2.48%"
"Jan 20, 2020","28,250.0","28,550.0","28,550.0","28,100.0","939.70K","-1.05%"
"Jan 17, 2020","28,550.0","28,700.0","28,950.0","28,550.0","2.06M","-0.35%"
"Jan 16, 2020","28,650.0","27,750.0","28,700.0","27,700.0","2.72M","3.24%"
"Jan 15, 2020","27,750.0","28,000.0","28,050.0","27,650.0","712.44K","-0.89%"
"Jan 14, 2020","28,000.0","27,700.0","28,150.0","27,600.0","813.00K","0.36%"
"Jan 13, 2020","27,900.0","28,100.0","28,150.0","27,650.0","866.38K","-0.71%"
"Jan 10, 2020","28,100.0","27,550.0","28,400.0","27,550.0","1.92M","2.18%"
"Jan 09, 2020","27,500.0","26,700.0","27,600.0","26,650.0","2.02M","3.00%"
"Jan 08, 2020","26,700.0","26,600.0","26,900.0","26,150.0","1.95M","0.00%"
"Jan 07, 2020","26,700.0","27,000.0","27,000.0","26,600.0","865.63K","-1.11%"
"Jan 06, 2020","27,000.0","27,500.0","27,500.0","26,800.0","1.31M","-2.00%"
"Jan 03, 2020","27,550.0","27,750.0","27,750.0","27,400.0","1.31M","-0.90%"
"Jan 02, 2020","27,800.0","27,500.0","27,800.0","27,150.0","2.14M","0.91%"
"Dec 31, 2019","27,550.0","26,900.0","27,550.0","26,800.0","2.15M","2.42%"
"Dec 30, 2019","26,900.0","27,000.0","27,050.0","26,800.0","898.05K","-0.37%"
"Dec 27, 2019","27,000.0","26,500.0","27,000.0","26,450.0","2.21M","1.89%"
"Dec 26, 2019","26,500.0","26,600.0","26,700.0","26,400.0","660.67K","-0.75%"
"Dec 25, 2019","26,700.0","26,750.0","27,000.0","26,600.0","833.50K","-0.37%"
"Dec 24, 2019","26,800.0","26,350.0","27,000.0","26,350.0","1.61M","1.90%"
"Dec 23, 2019","26,300.0","26,200.0","26,350.0","26,100.0","1.10M","0.38%"
"Dec 20, 2019","26,200.0","26,200.0","26,250.0","26,100.0","895.98K","0.00%"
"Dec 19, 2019","26,200.0","26,450.0","26,500.0","25,950.0","1.28M","-0.95%"
"Dec 18, 2019","26,450.0","26,550.0","26,950.0","26,150.0","1.22M","-1.86%"
"Dec 17, 2019","26,950.0","27,200.0","27,500.0","26,700.0","1.36M","-2.18%"
"Dec 16, 2019","27,550.0","27,950.0","27,950.0","27,500.0","1.19M","-1.43%"
"Dec 13, 2019","27,950.0","28,000.0","28,100.0","27,750.0","1.36M","-0.18%"
"Dec 12, 2019","28,000.0","28,000.0","28,100.0","27,850.0","1.19M","0.00%"
"Dec 11, 2019","28,000.0","27,500.0","28,100.0","27,500.0","1.30M","1.08%"
"Dec 10, 2019","27,700.0","28,000.0","28,100.0","27,600.0","1.01M","-1.07%"
"Dec 09, 2019","28,000.0","27,750.0","28,100.0","27,500.0","1.65M","0.72%"
"Dec 06, 2019","27,800.0","27,800.0","27,950.0","27,600.0","811.47K","-0.36%"
"Dec 05, 2019","27,900.0","27,750.0","28,400.0","27,700.0","1.72M","2.20%"
"Dec 04, 2019","27,300.0","25,600.0","27,300.0","25,600.0","2.05M","6.85%"
"Dec 03, 2019","25,550.0","25,550.0","25,800.0","25,300.0","1.05M","0.00%"
"Dec 02, 2019","25,550.0","26,500.0","26,500.0","25,550.0","954.08K","-3.58%"
"Nov 29, 2019","26,500.0","26,100.0","26,550.0","26,100.0","957.64K","1.34%"
"Nov 28, 2019","26,150.0","27,000.0","27,050.0","26,000.0","1.21M","-3.15%"
"Nov 27, 2019","27,000.0","27,800.0","27,900.0","27,000.0","1.15M","-2.88%"
"Nov 26, 2019","27,800.0","27,900.0","28,050.0","27,650.0","1.42M","0.00%"
"Nov 25, 2019","27,800.0","27,800.0","28,050.0","27,550.0","961.39K","0.00%"
"Nov 22, 2019","27,800.0","28,500.0","28,650.0","27,500.0","1.60M","-2.28%"
"Nov 21, 2019","28,450.0","28,750.0","28,900.0","28,450.0","1.71M","-1.56%"
